"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Jansen, Kenley",445276,"BOS","FC","Cutter",0.9,5,"557",77.3,"144","0.242","0.364","0.298",27.5,28.5,25.9,"0.209","0.339","0.271",36.3
"Jiménez, Joe",641729,"ATL","FF","4-Seam Fastball",0.7,4,"582",62.2,"144","0.237","0.443","0.326",26.3,27.8,22.7,"0.231","0.438","0.312",46.2
"Sewald, Paul",623149,"AZ","FF","4-Seam Fastball",1.8,11,"590",56.9,"143","0.22","0.323","0.282",28.4,32.9,24,"0.198","0.314","0.266",31.7
"Martínez, Adrián",661309,"OAK","FF","4-Seam Fastball",-0.7,-4,"547",58,"143","0.28","0.432","0.342",13.9,17.5,16,"0.284","0.466","0.359",36.9
"Sánchez, Cristopher",650911,"PHI","CH","Changeup",1,5,"479",32.8,"143","0.148","0.274","0.218",43,40.6,27.8,"0.165","0.269","0.21",23.1
"Bernardino, Brennan",657514,"BOS","SI","Sinker",1.7,8,"481",55.6,"143","0.252","0.362","0.321",18.6,24.5,29.7,"0.265","0.404","0.331",38
"Manoah, Alek",666201,"TOR","SI","Sinker",0.2,1,"474",28.1,"143","0.25","0.379","0.359",12.8,15.4,15.3,"0.285","0.461","0.388",45.7
"Gibson, Kyle",502043,"BAL","ST","Sweeper",2,11,"560",18.4,"143","0.147","0.228","0.184",47.4,40.6,24.6,"0.183","0.345","0.244",29.6
"Heaney, Andrew",571760,"TEX","CH","Changeup",0.2,1,"441",16.9,"142","0.274","0.452","0.347",24,10.6,15.8,"0.304","0.518","0.362",31.4
"Walker, Ryan",676254,"SF","SL","Slider",-0.8,-4,"542",50.2,"142","0.248","0.473","0.349",41.9,35.9,23.8,"0.193","0.319","0.26",29.1
"Bieber, Shane",669456,"CLE","SL","Slider",0.5,2,"406",20.8,"142","0.18","0.331","0.256",32.6,31,23,"0.21","0.353","0.259",33.7
"Grove, Michael",675627,"LAD","SL","Slider",0.7,3,"447",39,"142","0.209","0.336","0.26",44.6,37.3,28.8,"0.203","0.334","0.254",28.4
"Sears, JP",676664,"OAK","ST","Sweeper",-0.2,-1,"552",19.3,"142","0.221","0.435","0.317",29.4,25.4,17.6,"0.215","0.387","0.284",25
"Sheehan, Emmet",686218,"LAD","FF","4-Seam Fastball",-0.2,-1,"618",59.9,"142","0.242","0.508","0.364",20.3,12,10.2,"0.232","0.513","0.369",46.7
"Alcantara, Sandy",645261,"MIA","SL","Slider",0.6,3,"544",20,"142","0.227","0.364","0.298",35.2,21.1,19.6,"0.251","0.383","0.302",35.3
"McHugh, Collin",543521,"ATL","ST","Sweeper",-0.7,-3,"488",47.9,"142","0.262","0.408","0.34",29.9,24.6,19.3,"0.262","0.442","0.33",38.5
"Martinez, Nick",607259,"SD","CH","Changeup",2.8,14,"504",28.8,"141","0.158","0.226","0.193",46.5,35.5,26.7,"0.17","0.25","0.205",17.9
"Snell, Blake",605483,"SD","CH","Changeup",2.4,14,"584",18.4,"141","0.185","0.266","0.259",46.8,18.4,26.3,"0.203","0.299","0.273",15.3
"Miley, Wade",489119,"MIL","CH","Changeup",0.6,3,"460",24.6,"141","0.219","0.281","0.278",23.9,15.6,15.3,"0.231","0.293","0.269",25.2
"King, Michael",650633,"NYY","SI","Sinker",1.3,7,"553",32.9,"141","0.266","0.371","0.337",16,26.2,33,"0.257","0.422","0.328",40
"Stanek, Ryne",592773,"HOU","FF","4-Seam Fastball",1,6,"555",64.2,"140","0.216","0.392","0.301",24.8,20,18.8,"0.22","0.412","0.314",44.9
"Quantrill, Cal",615698,"CLE","SI","Sinker",-0.2,-1,"454",26.5,"140","0.298","0.438","0.368",14,10.7,13.5,"0.307","0.511","0.39",38.5
"Lorenzen, Michael",547179,"PHI","CH","Changeup",0.3,1,"510",21.5,"140","0.186","0.403","0.265",31.4,23.6,16.5,"0.215","0.364","0.265",28
"Gonsolin, Tony",664062,"LAD","FS","Split-Finger",0.4,2,"452",27.2,"140","0.181","0.315","0.26",27,27.1,18.7,"0.241","0.366","0.291",33
"Holderman, Colin",670059,"PIT","SI","Sinker",0.6,3,"465",50,"139","0.298","0.395","0.336",15.9,13.7,17,"0.282","0.445","0.347",44.9
"Lugo, Seth",607625,"SD","SI","Sinker",1.4,7,"473",19.9,"139","0.206","0.357","0.292",8.9,19.4,21.6,"0.222","0.376","0.294",36.4
"Canning, Griffin",656288,"LAA","CH","Changeup",1.6,7,"443",20.3,"139","0.213","0.339","0.277",24.8,18.7,15.4,"0.249","0.406","0.315",42.6
"McGough, Scott",543518,"AZ","FS","Split-Finger",0.3,1,"489",39.7,"139","0.198","0.389","0.291",42.2,32.4,21.8,"0.218","0.357","0.283",42.7
"Flexen, Chris",623167,"COL","FC","Cutter",-1.2,-6,"514",29.3,"139","0.287","0.504","0.369",20.2,10.1,12.2,"0.286","0.5","0.358",39.1
"Winckowski, Josh",670174,"BOS","SI","Sinker",-1.7,-9,"527",38.1,"139","0.36","0.584","0.448",17.9,12.9,17.8,"0.299","0.495","0.373",54.2
"Civale, Aaron",650644,"TB","CU","Curveball",1.1,6,"490",24.4,"139","0.182","0.318","0.246",27.4,32.4,19.1,"0.207","0.351","0.26",33.3
"Pivetta, Nick",601713,"BOS","CU","Curveball",0.2,1,"588",24.7,"139","0.215","0.4","0.296",31.3,33.8,25.4,"0.238","0.448","0.317",39.3
"Hamilton, Ian",641656,"NYY","SL","Slider",2.5,14,"531",54.2,"139","0.156","0.234","0.21",42.5,39.6,25.3,"0.179","0.269","0.232",30.1
"Greinke, Zack",425844,"KC","FF","4-Seam Fastball",0.4,2,"592",26.7,"138","0.276","0.472","0.358",15.7,14.5,15.2,"0.322","0.593","0.406",47.2
